Episode,AverageScore,Epsilon
100,18.45,0.9048
200,17.92,0.8187
300,18.87,0.7407
400,18.60,0.6702
500,19.11,0.6064
600,18.21,0.5487
700,17.77,0.4964
800,19.26,0.4492
900,20.20,0.4064
1000,20.64,0.3677
1100,21.88,0.3327
1200,18.25,0.3010
1300,18.79,0.2724
1400,22.92,0.2464
1500,17.94,0.2230
1600,19.39,0.2017
1700,20.46,0.1825
1800,17.74,0.1652
1900,18.32,0.1494
2000,18.99,0.1352
2100,18.33,0.1223
2200,20.74,0.1107
2300,20.34,0.1001
2400,19.44,0.0906
2500,20.74,0.0820
2600,19.68,0.0742
2700,22.89,0.0671
2800,19.62,0.0607
2900,17.24,0.0549
3000,20.85,0.0497
3100,21.13,0.0450
3200,18.59,0.0407
3300,20.94,0.0368
3400,20.99,0.0333
3500,16.81,0.0301
3600,17.33,0.0273
3700,18.64,0.0247
3800,22.90,0.0223
3900,21.82,0.0202
4000,20.62,0.0183
4100,16.79,0.0165
4200,25.40,0.0150
4300,20.50,0.0135
4400,20.94,0.0123
4500,16.85,0.0111
4600,17.71,0.0100
4700,23.19,0.0100
4800,26.22,0.0100
4900,26.78,0.0100
5000,20.19,0.0100
5100,20.49,0.0100
5200,18.18,0.0100
5300,20.17,0.0100
5400,25.54,0.0100
5500,26.26,0.0100
5600,27.58,0.0100
5700,29.66,0.0100
5800,19.79,0.0100
5900,20.02,0.0100
6000,19.58,0.0100
6100,23.88,0.0100
6200,24.78,0.0100
6300,21.81,0.0100
6400,17.30,0.0100
6500,22.17,0.0100
6600,21.41,0.0100
6700,19.19,0.0100
6800,18.96,0.0100
6900,17.45,0.0100
7000,18.39,0.0100
7100,16.92,0.0100
7200,17.88,0.0100
7300,25.65,0.0100
7400,28.82,0.0100
7500,30.92,0.0100
7600,40.59,0.0100
7700,33.83,0.0100
7800,19.55,0.0100
7900,22.85,0.0100
8000,21.13,0.0100
8100,19.11,0.0100
8200,17.58,0.0100
8300,22.80,0.0100
8400,18.29,0.0100
8500,20.57,0.0100
8600,21.48,0.0100
8700,23.84,0.0100
8800,18.28,0.0100
8900,22.02,0.0100
9000,22.30,0.0100
9100,16.53,0.0100
9200,18.74,0.0100
9300,22.43,0.0100
9400,21.50,0.0100
9500,24.33,0.0100
9600,19.55,0.0100
9700,16.92,0.0100
9800,21.62,0.0100
9900,21.23,0.0100
10000,19.41,0.0100
